sample_index,episode_name,frame_index,task_index,prompt,mse,rmse,mae,max_abs_error,rel_error,cosine_similarity_mean,agreement_1e-2,agreement_1e-3,agreement_1e-4,agreement_1e-5,mse_jax_gt,mse_torch_gt,time_jax_ms,time_torch_ms
4,episode_000000,4,1,Grasp the apple from the table and put it in the box,5.788012913399143e-06,0.002405828945166124,0.0013933110749348998,0.013266444206237793,0.1785994917154312,0.9999869376420975,0.9921052631578947,0.6223684210526316,0.1763157894736842,0.11447368421052631,0.0005652632098644972,0.0005247799563221633,189.80693817138672,351.0599136352539
16,episode_000000,16,1,Grasp the apple from the table and put it in the box,5.661006071022712e-06,0.0023792868828753527,0.001412343350239098,0.014781206846237183,0.057942118495702744,0.9999873548746109,0.993421052631579,0.5868421052631579,0.17894736842105263,0.11710526315789474,0.0007211870979517698,0.0006518633454106748,186.7814064025879,404.53481674194336
0,episode_000000,0,1,Grasp the apple from the table and put it in the box,5.616487214865629e-06,0.0023699129129285804,0.0013054795563220978,0.015039026737213135,0.10868377983570099,0.9999874204397201,0.9868421052631579,0.6302631578947369,0.1868421052631579,0.11578947368421053,0.0003209889982827008,0.00026848033303394914,192.41690635681152,390.7771110534668
8,episode_000000,8,1,Grasp the apple from the table and put it in the box,5.212466021475848e-06,0.0022830825700083314,0.0013878571335226297,0.010217726230621338,0.10798563063144684,0.9999883711338043,0.9973684210526316,0.593421052631579,0.1736842105263158,0.11052631578947368,0.0008815413457341492,0.0008159001590684056,191.33234024047852,357.6242923736572
9,episode_000000,9,1,Grasp the apple from the table and put it in the box,5.193292963667773e-06,0.0022788797606867663,0.0013358633732423186,0.012327402830123901,0.06431429833173752,0.9999883562326431,0.9921052631578947,0.6118421052631579,0.1763157894736842,0.11710526315789474,0.0007907590479589999,0.0007614435162395239,189.35728073120117,352.8311252593994
3,episode_000000,3,1,Grasp the apple from the table and put it in the box,5.12584892931045e-06,0.0022640337738890847,0.0013435279252007604,0.01276707649230957,0.0967632457613945,0.9999885141849518,0.993421052631579,0.5947368421052631,0.19078947368421054,0.11447368421052631,0.0004950062721036375,0.00044361368054524064,185.197114944458,346.6660976409912
2,episode_000000,2,1,Grasp the apple from the table and put it in the box,4.910117240797263e-06,0.002215878435473675,0.0014432488242164254,0.01047101616859436,0.24246153235435486,0.9999888956546783,0.9986842105263158,0.5605263157894737,0.16710526315789473,0.11052631578947368,0.00039702042704448104,0.00036958963028155267,188.67087364196777,345.95680236816406
10,episode_000000,10,1,Grasp the apple from the table and put it in the box,4.903640729025938e-06,0.0022144165662824006,0.0012924670008942485,0.013248860836029053,0.11833809316158295,0.9999889820814133,0.9921052631578947,0.6236842105263158,0.1881578947368421,0.11315789473684211,0.0009537400328554213,0.0009097066940739751,185.17661094665527,348.19722175598145
6,episode_000000,6,1,Grasp the apple from the table and put it in the box,4.856897248828318e-06,0.0022038369378945253,0.0014049429446458817,0.010919243097305298,0.24465669691562653,0.9999891877174377,0.9973684210526316,0.5763157894736842,0.1736842105263158,0.11052631578947368,0.0007702385191805661,0.0007541937520727515,182.50632286071777,350.1160144805908
5,episode_000000,5,1,Grasp the apple from the table and put it in the box,4.4852536120743025e-06,0.0021178417344254745,0.0013735321117565036,0.011635810136795044,0.1053488478064537,0.9999899625778198,0.9986842105263158,0.5644736842105263,0.1723684210526316,0.1118421052631579,0.0007320825243368745,0.0007015654700808227,185.1327419281006,372.1747398376465
7,episode_000000,7,1,Grasp the apple from the table and put it in the box,4.3703012124751695e-06,0.0020905265395290175,0.0012923670001327991,0.009305953979492188,0.07410283386707306,0.9999902844429016,1.0,0.6052631578947368,0.18421052631578946,0.11315789473684211,0.0008098497055470943,0.0007578315562568605,189.08262252807617,356.4634323120117
11,episode_000000,11,1,Grasp the apple from the table and put it in the box,4.2392512114020064e-06,0.0020589441982244217,0.001242264756001532,0.01530921459197998,0.09123141318559647,0.9999905347824096,0.9973684210526316,0.625,0.18157894736842106,0.11315789473684211,0.0009256829507648945,0.0008898897212930024,207.98993110656738,368.96443367004395
12,episode_000000,12,1,Grasp the apple from the table and put it in the box,4.226279997965321e-06,0.002055791817759114,0.001357643399387598,0.009054839611053467,0.13146667182445526,0.999990513920784,1.0,0.5631578947368421,0.18289473684210528,0.11447368421052631,0.0008654688717797399,0.0008224497432820499,187.78204917907715,375.4584789276123
14,episode_000000,14,1,Grasp the apple from the table and put it in the box,4.098712906852597e-06,0.0020245278231855934,0.0012545185163617134,0.011660158634185791,0.07499381899833679,0.9999908089637757,0.9960526315789474,0.6065789473684211,0.18157894736842106,0.11315789473684211,0.0007653069915249944,0.0007312422385439277,194.0300464630127,391.6468620300293
13,episode_000000,13,1,Grasp the apple from the table and put it in the box,4.017962510260986e-06,0.0020044855974191947,0.0012323933187872171,0.011534035205841064,0.09482181072235107,0.9999910801649093,0.9973684210526316,0.6144736842105263,0.2026315789473684,0.11973684210526316,0.0008758516632951796,0.0008155818795785308,191.77556037902832,335.0536823272705
1,episode_000000,1,1,Grasp the apple from the table and put it in the box,3.276040160926641e-06,0.0018099834697937551,0.0011449113953858614,0.00847715139389038,0.10754656791687012,0.9999926000833511,1.0,0.6407894736842106,0.1868421052631579,0.11710526315789474,0.00027789705200120807,0.00025976469623856246,190.49835205078125,344.52247619628906
17,episode_000000,17,1,Grasp the apple from the table and put it in the box,3.0560236154997256e-06,0.0017481486251173628,0.0011062102857977152,0.010755062103271484,0.08302608132362366,0.9999932378530503,0.9986842105263158,0.6355263157894737,0.18026315789473685,0.11052631578947368,0.0006097411387600005,0.0005961417919024825,190.4752254486084,349.149227142334
15,episode_000000,15,1,Grasp the apple from the table and put it in the box,2.8797369395761052e-06,0.0016969787681571343,0.0010540448129177094,0.010315477848052979,0.15788714587688446,0.9999935865402222,0.9986842105263158,0.6618421052631579,0.1763157894736842,0.11315789473684211,0.0007344866171479225,0.0007124376716092229,188.58933448791504,336.35520935058594
