sample_index,episode_name,frame_index,task_index,prompt,mse,rmse,mae,max_abs_error,rel_error,cosine_similarity_mean,agreement_1e-2,agreement_1e-3,agreement_1e-4,agreement_1e-5,mse_jax_gt,mse_torch_gt,time_jax_ms,time_torch_ms
9,episode_000000,9,1,Grasp the apple from the table and put it in the box,0.0004768318322021514,0.021836479391196546,0.008190511725842953,0.14250358939170837,0.16747748851776123,0.9989384293556214,0.8078947368421052,0.45394736842105265,0.16578947368421051,0.11578947368421053,0.0007614435162395239,0.00011920415272470564,500.81777572631836,534.508228302002
7,episode_000000,7,1,Grasp the apple from the table and put it in the box,0.0004132455214858055,0.020328441196653654,0.0075102453120052814,0.13932722806930542,0.24900493025779724,0.9990798830986023,0.8236842105263158,0.4855263157894737,0.16447368421052633,0.11315789473684211,0.0007578315562568605,0.00012351044279057533,504.8356056213379,555.795431137085
8,episode_000000,8,1,Grasp the apple from the table and put it in the box,0.00038494160980917513,0.0196199288940907,0.007355959620326757,0.12735483050346375,0.24067114293575287,0.9991421401500702,0.8263157894736842,0.49473684210526314,0.1631578947368421,0.1118421052631579,0.0008159001590684056,0.00016310848877765238,494.5070743560791,543.3192253112793
6,episode_000000,6,1,Grasp the apple from the table and put it in the box,0.0003309574967715889,0.01819223726680116,0.006706821732223034,0.1249413788318634,0.13599823415279388,0.9992634445428848,0.8368421052631579,0.4881578947368421,0.14342105263157895,0.10921052631578948,0.0007541937520727515,0.00015077044372446835,495.6090450286865,534.3015193939209
5,episode_000000,5,1,Grasp the apple from the table and put it in the box,0.0003225605469197035,0.017959970682595878,0.0063741509802639484,0.12892785668373108,0.18811923265457153,0.9992826581001282,0.8539473684210527,0.4868421052631579,0.15263157894736842,0.10921052631578948,0.0007015654700808227,0.00012296580825932324,516.3493156433105,568.6719417572021
4,episode_000000,4,1,Grasp the apple from the table and put it in the box,0.0002325142704648897,0.01524841862177484,0.005349654704332352,0.11435642838478088,1.70677649974823,0.9994817525148392,0.875,0.5131578947368421,0.15263157894736842,0.10789473684210527,0.0005247799563221633,9.791259799385443e-05,574.265718460083,546.5524196624756
3,episode_000000,3,1,Grasp the apple from the table and put it in the box,0.00018274938338436186,0.013518483028223317,0.00481516495347023,0.10899725556373596,0.41178005933761597,0.9995928287506104,0.881578947368421,0.4986842105263158,0.1513157894736842,0.11052631578947368,0.00044361368054524064,8.637167047709227e-05,426.2664318084717,587.4223709106445
2,episode_000000,2,1,Grasp the apple from the table and put it in the box,0.00013660993135999888,0.011688025126598544,0.004211893770843744,0.1021943986415863,0.12359486520290375,0.9996956408023834,0.8986842105263158,0.4881578947368421,0.14210526315789473,0.10657894736842105,0.00036958963028155267,8.166780753526837e-05,528.2049179077148,663.9747619628906
10,episode_000000,10,1,Grasp the apple from the table and put it in the box,9.779279207577929e-05,0.009889023818141975,0.004359527491033077,0.060020267963409424,0.11357466131448746,0.9997825920581818,0.8618421052631579,0.5289473684210526,0.17105263157894737,0.11315789473684211,0.0009097066940739751,0.0004991191672161222,527.8685092926025,545.1068878173828
1,episode_000000,1,1,Grasp the apple from the table and put it in the box,8.061952394200489e-05,0.008978837560731617,0.0033444236032664776,0.08541545271873474,0.17147758603096008,0.9998190402984619,0.9131578947368421,0.5157894736842106,0.17105263157894737,0.11447368421052631,0.00025976469623856246,7.761184679111466e-05,588.5825157165527,592.3926830291748
